Node,Check,Kanton,PLZ,Ort,Gebiet,Vermehrungstyp,Herkunft,Pflanzjahr,Lat-WGS84,Lon-WGS84,CHY-LV95,CHX-LV95,BHU,BHD,Datum,Hauptinfo,SEBA,Erhaltungs-Plantage_Biel_Nr,DNA_Probe,Fruechte,Verluste_Erklaerung,Reiser,Bemerkung
10266193865,ja,BL,4132,Muttenz,DuerrerainNord5,seed,6614870445,2022,47.5138433,7.6482278,2615789,1262588,3,1,Dezember 2022,Dick Martin  Muerner Fredi  ,,,,,,,"Same von Arlesheim Chilchholz Gipfel Mitte: - Hoehen: 85cm Dez. 2022, 175cm Okt. 2023, 290cm Sep. 2024"
10266224675,ja,BL,4132,Muttenz,DuerrerainNord6,seed,6614870445,2022,47.5137654,7.6482891,2615794,1262579,3,1,Dezember 2022,Dick Martin  Muerner Fredi  ,,,,,,,"Same von Arlesheim Chilchholz Gipfel Mitte: - Hoehen: 60cm Dez. 2022, 210cm Okt. 2023, 280cm Sep. 2024"
10266233074,ja,BL,4132,Muttenz,DuerrerainNord7,seed,6614870445,2022,47.5136469,7.6483988,2615802,1262566,3,1,Dezember 2022,Dick Martin  Muerner Fredi  ,,,,,,,"Same von Arlesheim Chilchholz Gipfel Mitte: - Hoehen: 75cm Dez. 2022, 150cm Okt. 2023, 210cm Sep. 2024"
10266271370,ja,BL,4132,Muttenz,DuerrerainNord8,seed,6614870445,2022,47.5135709,7.6485259,2615812,1262557,3,1,Dezember 2022,Dick Martin  Muerner Fredi  ,,,,,,,"Same von Arlesheim Chilchholz Gipfel Mitte: - Hoehen: 55cm Dez. 2022, 170cm Okt. 2023, 300cm Sep. 2024"
10266274813,ja,BL,4132,Muttenz,DuerrerainNord9,seed,6614870445,2022,47.5135032,7.6485682,2615815,1262550,3,1,Dezember 2022,Dick Martin  Muerner Fredi  ,,,,,,,"Same von Arlesheim Chilchholz Gipfel Mitte: - Hoehen: 65cm Dez. 2022, 110cm Okt. 2023, 160cm Sep. 2024"
10266278941,ja,BL,4132,Muttenz,DuerrerainNord10,seed,6614870445,2022,47.513441,7.6483089,2615795,1262543,3,1,Dezember 2022,Dick Martin  Muerner Fredi  ,,,,,,,"Same von Arlesheim Chilchholz Gipfel Mitte: - Hoehen: 65cm Dez. 2022, 150cm Okt. 2023, 270cm Sep. 2024"
10266256838,ja,BL,4132,Muttenz,DuerrerainNord11,seed,6614870445,2022,47.5134065,7.6481783,2615786,1262539,3,1,Dezember 2022,Dick Martin  Muerner Fredi  ,,,,,,,"Same von Arlesheim Chilchholz Gipfel Mitte: - Hoehen: 90cm Dez. 2022, 115cm Okt. 2023, 170cm Sep. 2024"
10266275465,ja,BL,4132,Muttenz,DuerrerainNord12,seed,6614870445,2024,47.5133205,7.6480258,2615774,1262529,3,1,Dezember 2022,Dick Martin  Muerner Fredi  ,,,,,,,"Same von Arlesheim Chilchholz Gipfel Mitte: - Hoehen: 50cm Dez. 2022, abgestorben Okt. 2023, 
Same von Arlesheim Chilchholz Gipfel Mitte: - Hoehen: 40cm Feb. 2024, 60cm Sep. 2024"
11256092497,ja,BL,4132,Muttenz,GeispelgasseWest01,planted,,,47.5205429,7.6390567,2615096,1263331,18,6,Oktober  2023,Dick Martin,,,,,,,
11249098396,ja,BL,4132,Muttenz,GeispelgasseWest02,planted,,,47.5205207,7.6391129,2615101,1263328,16,5,Oktober  2023,Dick Martin,,,,,,,
11249092149,ja,BL,4132,Muttenz,GeispelgasseWest03,planted,,,47.5205008,7.639172,2615105,1263326,23,7,Oktober  2023,Dick Martin,,,,,,,
11249087343,ja,BL,4132,Muttenz,GeispelgasseWest04,planted,,,47.5205253,7.6391917,2615107,1263329,12,4,Oktober  2023,Dick Martin,,,,,,,
11249101747,ja,BL,4132,Muttenz,GeispelgasseWest05,planted,,,47.5205043,7.6392182,2615109,1263326,26,8,Oktober  2023,Dick Martin,,,,,,,
11249119772,ja,BL,4132,Muttenz,GeispelgasseWest06,planted,,,47.5205253,7.6392379,2615110,1263329,8,3,Oktober  2023,Dick Martin,,,,,,,
11249078390,ja,BL,4132,Muttenz,GeispelgasseWest07,planted,,,47.5205038,7.6392546,2615111,1263326,13,4,Oktober  2023,Dick Martin,,,,,,,
11249100707,ja,BL,4132,Muttenz,GeispelgasseWest08,planted,,,47.5205468,7.6393266,2615117,1263331,16,5,Oktober  2023,Dick Martin,,,,,,,
11249088399,ja,BL,4132,Muttenz,GeispelgasseWest09,planted,,,47.5205013,7.6393061,2615115,1263326,16,5,Oktober  2023,Dick Martin,,,,,,,
11256230478,ja,BL,4132,Muttenz,GeispelgasseWest10,planted,,,47.5205156,7.6393228,2615116,1263328,10,3,Oktober  2023,Dick Martin,,,,,,,
11249111474,ja,BL,4132,Muttenz,GeispelgasseWest11,planted,,,47.5204961,7.639341,2615118,1263326,9,3,Oktober  2023,Dick Martin,,,,,,,
11249130686,ja,BL,4132,Muttenz,GeispelgasseWest12,planted,,,47.5204919,7.6393966,2615122,1263325,23,7,Oktober  2023,Dick Martin,,,,,,,
11249140760,ja,BL,4132,Muttenz,GeispelgasseWest13,planted,,,47.5204818,7.6394696,2615128,1263324,15,5,Oktober  2023,Dick Martin,,,,,,,
,ja,BL,4132,Muttenz,Hard,planted,,,47.54159,7.63785,2615000,1265672, , ,Dezember 2020,Dick Martin   SEBA-Karte#873,Nr 873,,,,Baum nicht vorhanden,,
6817448209,ja,BL,4132,Muttenz,Hardstrasse1,planted,,,47.5403576,7.6542943,2616238,1265537,2,1,September 2019,Dick Martin,,,,,,,
6817458589,ja,BL,4132,Muttenz,Hardstrasse2,planted,,,47.5403668,7.6542721,2616236,1265538,2,1,September 2019,Dick Martin,,,,,,,
6817451504,ja,BL,4132,Muttenz,Hardstrasse3,planted,,,47.5404317,7.6541418,2616227,1265545,1,1,September 2019,Dick Martin,,,,,,,
11200848608,ja,BL,4132,Muttenz,HardstrasseA,planted,,2021,47.5418,7.65157,2616033,1265697,2,1,September 2023,Dick Martin,,,,,,,
11200828782,ja,BL,4132,Muttenz,HardstrasseB,planted,,2021,47.54171,7.65174,2616045,1265687,2,1,September 2023,Dick Martin,,,,,,,
11200761271,ja,BL,4132,Muttenz,HardstrasseC,planted,,2021,47.54169,7.65176,2616047,1265685,2,1,September 2023,Dick Martin,,,,,,,
10262370698,ja,BL,4132,Muttenz,HinterWartenbergOst,seed,6614870445,2024,47.5185279,7.6590116,2616600,1263111,3,1,Maerz 2024,Dick Martin,,,,,,,"Same von Arlesheim Chilchholz Gipfel Mitte: - Hoehe: 30cm Dez. 2022, 
Ersetzt im November 2024, Hoehe 40cm"
10262405321,ja,BL,4132,Muttenz,HinterWartenbergWest,seed,6139528930,2024,47.5184956,7.6588225,2616586,1263107,3,1,Maerz 2024,Dick Martin,,,,,,,"Same von Arlesheim Eichmatt: - Hoehe: 40cm Dez. 2022,
Vom Vieh zertreten und ersetzt im März 2024, Hoehe: 50cm, Maerz 2024"
6817707830,ja,BL,4132,Muttenz,Kreisel-BirsfeldenOst,planted,,,47.5476804,7.6338716,2614698,1266347,36,11,September 2019,Dick Martin,,,,,,,
6817724906,ja,BL,4132,Muttenz,Kreisel-BirsfeldenWest,planted,,,47.5478039,7.6331484,2614644,1266361,33,11,September 2019,Dick Martin,,,,,,,
12173804465,ja,BL,4132,Muttenz,Laengeberg,planted,,,47.5143496,7.6612259,2616768,1262647,74,24,September 2024,Dick Martin,,,,,,,
